,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
1102,0.08893831570943196,0.02218645700184798,0.003997008005777995,4.899036091938795e-07,entropy,28,20,50,50,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 50, 'n_estimators': 50}",0.7305389221556886,0.7125748502994012,0.7228915662650602,0.722,0.0073679902863648655,62,0.7417417417417418,0.7147147147147147,0.7305389221556886,0.7289984595373816,0.01108737469042195
1103,0.08761819203694661,0.00872501602844423,0.006994724273681641,0.002158177445010864,entropy,28,20,50,70,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 50, 'n_estimators': 70}",0.7425149700598802,0.718562874251497,0.7228915662650602,0.728,0.010429683543810827,18,0.7477477477477478,0.7237237237237237,0.7215568862275449,0.7310094525663388,0.01186877388693249
1104,0.10926445325215657,0.003686005621211775,0.006663401921590169,0.000942515944403053,entropy,28,20,50,90,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 50, 'n_estimators': 90}",0.7425149700598802,0.7125748502994012,0.7228915662650602,0.726,0.012429917526767519,31,0.7417417417417418,0.7147147147147147,0.7305389221556886,0.7289984595373816,0.01108737469042195
1105,0.012992382049560547,0.00141326812761907,0.0013314882914225261,0.00047024659895893763,entropy,28,20,70,10,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 70, 'n_estimators': 10}",0.7425149700598802,0.7125748502994012,0.7228915662650602,0.726,0.012429917526767519,31,0.7117117117117117,0.7147147147147147,0.7425149700598802,0.7229804654954356,0.013867279430196921
1106,0.03730527559916178,0.00340003002836841,0.0023323694864908853,0.00047125800235667525,entropy,28,20,70,30,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 70, 'n_estimators': 30}",0.7485029940119761,0.7125748502994012,0.7168674698795181,0.726,0.016031865318071964,31,0.7417417417417418,0.7147147147147147,0.7125748502994012,0.7230104355852859,0.013273812003945803
1107,0.060631910959879555,0.004097930345861726,0.003996690114339192,4.052336624139774e-07,entropy,28,20,70,50,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 70, 'n_estimators': 50}",0.7365269461077845,0.7125748502994012,0.7228915662650602,0.724,0.009819318580579486,46,0.7537537537537538,0.7147147147147147,0.7275449101796407,0.7320044595493697,0.016246585850750127
1108,0.08495275179545085,0.009895293296845036,0.007661104202270508,0.003767759670737116,entropy,28,20,70,70,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 70, 'n_estimators': 70}",0.7125748502994012,0.7125748502994012,0.7168674698795181,0.714,0.0020215276006701993,162,0.7207207207207207,0.7147147147147147,0.7155688622754491,0.7170014325702948,0.0026529505929939867
1109,0.13326183954874674,0.030446166827882638,0.007329543431599935,0.0012469800779049314,entropy,28,20,70,90,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 70, 'n_estimators': 90}",0.7245508982035929,0.7125748502994012,0.7168674698795181,0.718,0.004958786933540064,97,0.7267267267267268,0.7147147147147147,0.7155688622754491,0.7190034345722968,0.005472313544311708
1110,0.011653900146484375,0.000466207561188768,0.0010059674580891926,9.216110874382161e-06,entropy,28,20,90,10,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 90, 'n_estimators': 10}",0.7245508982035929,0.7125748502994012,0.7168674698795181,0.718,0.004958786933540064,97,0.7567567567567568,0.7147147147147147,0.7245508982035929,0.7320074565583546,0.0179551946362733
1111,0.035318613052368164,0.0018679483361464693,0.002331813176472982,0.0004709769932174506,entropy,28,20,90,30,"{'criterion': 'entropy', 'max_depth': 28, 'min_samples_leaf': 20, 'min_samples_split': 90, 'n_estimators': 30}",0.7245508982035929,0.7125748502994012,0.7168674698795181,0.718,0.004958786933540064,97,0.7237237237237237,0.7147147147147147,0.7125748502994012,0.7170044295792799,0.004830903316402952
